Row	Sample Name	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level(Unit)	Problem Name	Step Name	Attempt At Step	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC(Default)	KC Category(Default)	KC(Single-KC)	KC Category(Single-KC)	KC(Unique-step)	KC Category(Unique-step)	School	Class	CF(USERID)	CF(tool_event_time)	CF(tutor_event_time)
301	All Data	Stu_437a876c59e12385077b3687e78f8e92	L72ca9f09:1269f91b53e:-8000	2010-02-05 14:21:15.0	US/Eastern	4	ATTEMPT		RESULT		Pre-Test Version A	ATest	demonstration_problem5_box UpdateTextArea	1	CORRECT	demonstration_problem5_box	UpdateTextArea	fdgfdg					unnamed		Single-KC		KC124		CMU			2010-02-05 19:21:15.191 UTC	2010-02-05 19:21:15.488 UTC
302	All Data	Stu_437a876c59e12385077b3687e78f8e92	L72ca9f09:1269f91b53e:-8000	2010-02-05 14:21:23.0	US/Eastern	8	ATTEMPT		RESULT		Pre-Test Version A	ATest	Done ButtonPressed	1	CORRECT	Done	ButtonPressed	-1					unnamed		Single-KC		KC21		CMU			2010-02-05 19:21:23.194 UTC	2010-02-05 19:21:23.397 UTC
303	All Data	Stu_437a876c59e12385077b3687e78f8e92	L6d0caed2:126be4d7f6d:-8000	2010-02-11 13:33:49.0	US/Eastern	0	ATTEMPT				Post-Test Version B	BTest																	CMU		TUFIXCXaK		
304	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:58:49.0	US/Eastern	0	ATTEMPT				Pre-Test Version A	ATest																	CMU		IFJaIEFNJeC		
305	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:58:53.0	US/Eastern	4	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem1_box UpdateTextField	1	Correct	eq_problem1_box	UpdateTextField	1					unnamed		Single-KC		KC130		CMU			2010-02-11 21:58:53.635 UTC	2010-02-11 21:58:53.854 UTC
306	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:58:54.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem2_box UpdateTextField	1	Correct	eq_problem2_box	UpdateTextField	1					unnamed		Single-KC		KC125		CMU			2010-02-11 21:58:54.306 UTC	2010-02-11 21:58:54.493 UTC
307	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:58:55.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem3_box UpdateTextField	1	Correct	eq_problem3_box	UpdateTextField	1					unnamed		Single-KC		KC87		CMU			2010-02-11 21:58:55.242 UTC	2010-02-11 21:58:55.492 UTC
308	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:58:56.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem4_box UpdateTextField	1	Correct	eq_problem4_box	UpdateTextField	1					unnamed		Single-KC		KC104		CMU			2010-02-11 21:58:56.131 UTC	2010-02-11 21:58:56.318 UTC
309	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:58:56.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem5_box UpdateTextField	1	Correct	eq_problem5_box	UpdateTextField	1					unnamed		Single-KC		KC141		CMU			2010-02-11 21:58:56.911 UTC	2010-02-11 21:58:57.083 UTC
310	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:58:58.0	US/Eastern	2	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem6_box UpdateTextField	1	Correct	eq_problem6_box	UpdateTextField	1					unnamed		Single-KC		KC23		CMU			2010-02-11 21:58:58.315 UTC	2010-02-11 21:58:58.502 UTC
311	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:58:59.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option1 UpdateMultipleChoice	1	Correct	LT_problem1_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC133		CMU			2010-02-11 21:58:59.704 UTC	2010-02-11 21:58:59.875 UTC
312	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:00.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option2 UpdateMultipleChoice	1	Correct	LT_problem1_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC37		CMU			2010-02-11 21:59:00.031 UTC	2010-02-11 21:59:00.203 UTC
313	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:00.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option3 UpdateMultipleChoice	1	Correct	LT_problem1_option3	UpdateMultipleChoice	True					unnamed		Single-KC		KC78		CMU			2010-02-11 21:59:00.359 UTC	2010-02-11 21:59:00.515 UTC
314	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:01.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option4 UpdateMultipleChoice	1	Correct	LT_problem1_option4	UpdateMultipleChoice	True					unnamed		Single-KC		KC129		CMU			2010-02-11 21:59:01.139 UTC	2010-02-11 21:59:01.326 UTC
315	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:02.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option5 UpdateMultipleChoice	1	Correct	LT_problem1_option5	UpdateMultipleChoice	True					unnamed		Single-KC		KC59		CMU			2010-02-11 21:59:02.075 UTC	2010-02-11 21:59:02.262 UTC
316	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:03.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option6 UpdateMultipleChoice	1	Correct	LT_problem1_option6	UpdateMultipleChoice	True					unnamed		Single-KC		KC152		CMU			2010-02-11 21:59:03.401 UTC	2010-02-11 21:59:03.572 UTC
317	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:04.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option7 UpdateMultipleChoice	1	Correct	LT_problem1_option7	UpdateMultipleChoice	True					unnamed		Single-KC		KC81		CMU			2010-02-11 21:59:04.243 UTC	2010-02-11 21:59:04.430 UTC
318	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:07.0	US/Eastern	1.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option1 UpdateMultipleChoice	1	Correct	LT_problem2_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC55		CMU			2010-02-11 21:59:07.114 UTC	2010-02-11 21:59:07.285 UTC
319	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:07.0	US/Eastern	1.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option2 UpdateMultipleChoice	1	Correct	LT_problem2_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC71		CMU			2010-02-11 21:59:07.878 UTC	2010-02-11 21:59:08.034 UTC
320	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:12.0	US/Eastern	5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option3 UpdateMultipleChoice	1	Correct	LT_problem2_option3	UpdateMultipleChoice	True					unnamed		Single-KC		KC25		CMU			2010-02-11 21:59:12.308 UTC	2010-02-11 21:59:12.480 UTC
321	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:13.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option4 UpdateMultipleChoice	1	Correct	LT_problem2_option4	UpdateMultipleChoice	True					unnamed		Single-KC		KC9		CMU			2010-02-11 21:59:13.010 UTC	2010-02-11 21:59:13.198 UTC
322	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:14.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option5 UpdateMultipleChoice	1	Correct	LT_problem2_option5	UpdateMultipleChoice	True					unnamed		Single-KC		KC40		CMU			2010-02-11 21:59:14.399 UTC	2010-02-11 21:59:14.570 UTC
323	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:14.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option6 UpdateMultipleChoice	1	Correct	LT_problem2_option6	UpdateMultipleChoice	True					unnamed		Single-KC		KC22		CMU			2010-02-11 21:59:14.851 UTC	2010-02-11 21:59:15.007 UTC
324	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:15.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option7 UpdateMultipleChoice	1	Correct	LT_problem2_option7	UpdateMultipleChoice	True					unnamed		Single-KC		KC154		CMU			2010-02-11 21:59:15.210 UTC	2010-02-11 21:59:15.366 UTC
325	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:16.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem3_option1 UpdateMultipleChoice	1	Correct	LT_problem3_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC85		CMU			2010-02-11 21:59:16.302 UTC	2010-02-11 21:59:16.489 UTC
326	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:16.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem3_option2 UpdateMultipleChoice	1	Correct	LT_problem3_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC88		CMU			2010-02-11 21:59:16.630 UTC	2010-02-11 21:59:16.786 UTC
327	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:17.0	US/Eastern	0.333	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem3_option3 UpdateMultipleChoice	1	Correct	LT_problem3_option3	UpdateMultipleChoice	True					unnamed		Single-KC		KC80		CMU			2010-02-11 21:59:17.020 UTC	2010-02-11 21:59:17.207 UTC
328	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:17.0	US/Eastern	0.333	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem3_option4 UpdateMultipleChoice	1	Correct	LT_problem3_option4	UpdateMultipleChoice	True					unnamed		Single-KC		KC4		CMU			2010-02-11 21:59:17.612 UTC	2010-02-11 21:59:17.753 UTC
329	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:17.0	US/Eastern	0.333	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem3_option5 UpdateMultipleChoice	1	Correct	LT_problem3_option5	UpdateMultipleChoice	True					unnamed		Single-KC		KC27		CMU			2010-02-11 21:59:17.987 UTC	2010-02-11 21:59:18.158 UTC
330	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:18.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem3_option6 UpdateMultipleChoice	1	Correct	LT_problem3_option6	UpdateMultipleChoice	True					unnamed		Single-KC		KC98		CMU			2010-02-11 21:59:18.580 UTC	2010-02-11 21:59:18.736 UTC
331	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:22.0	US/Eastern	4	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem4_option1 UpdateMultipleChoice	1	Correct	LT_problem4_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC7		CMU			2010-02-11 21:59:22.667 UTC	2010-02-11 21:59:22.823 UTC
332	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:23.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem4_option2 UpdateMultipleChoice	1	Correct	LT_problem4_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC108		CMU			2010-02-11 21:59:23.088 UTC	2010-02-11 21:59:23.260 UTC
333	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:23.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem4_option3 UpdateMultipleChoice	1	Correct	LT_problem4_option3	UpdateMultipleChoice	True					unnamed		Single-KC		KC73		CMU			2010-02-11 21:59:23.447 UTC	2010-02-11 21:59:23.603 UTC
334	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:24.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem4_option4 UpdateMultipleChoice	1	Correct	LT_problem4_option4	UpdateMultipleChoice	True					unnamed		Single-KC		KC116		CMU			2010-02-11 21:59:24.024 UTC	2010-02-11 21:59:24.180 UTC
335	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:24.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem4_option5 UpdateMultipleChoice	1	Correct	LT_problem4_option5	UpdateMultipleChoice	True					unnamed		Single-KC		KC149		CMU			2010-02-11 21:59:24.367 UTC	2010-02-11 21:59:24.523 UTC
336	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:26.0	US/Eastern	2	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem4_option6 UpdateMultipleChoice	1	Correct	LT_problem4_option6	UpdateMultipleChoice	True					unnamed		Single-KC		KC47		CMU			2010-02-11 21:59:26.021 UTC	2010-02-11 21:59:26.208 UTC
337	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:30.0	US/Eastern	4	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem5_option1 UpdateMultipleChoice	1	Correct	LT_problem5_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC119		CMU			2010-02-11 21:59:30.451 UTC	2010-02-11 21:59:30.623 UTC
338	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:31.0	US/Eastern	0.333	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem5_option2 UpdateMultipleChoice	1	Correct	LT_problem5_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC83		CMU			2010-02-11 21:59:31.060 UTC	2010-02-11 21:59:31.231 UTC
339	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:31.0	US/Eastern	0.333	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem5_option3 UpdateMultipleChoice	1	Correct	LT_problem5_option3	UpdateMultipleChoice	True					unnamed		Single-KC		KC29		CMU			2010-02-11 21:59:31.450 UTC	2010-02-11 21:59:31.606 UTC
340	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:31.0	US/Eastern	0.333	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem5_option4 UpdateMultipleChoice	1	Correct	LT_problem5_option4	UpdateMultipleChoice	True					unnamed		Single-KC		KC69		CMU			2010-02-11 21:59:31.871 UTC	2010-02-11 21:59:32.027 UTC
341	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:32.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem5_option5 UpdateMultipleChoice	1	Correct	LT_problem5_option5	UpdateMultipleChoice	True					unnamed		Single-KC		KC45		CMU			2010-02-11 21:59:32.526 UTC	2010-02-11 21:59:32.885 UTC
342	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:33.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem5_option6 UpdateMultipleChoice	1	Correct	LT_problem5_option6	UpdateMultipleChoice	True					unnamed		Single-KC		KC139		CMU			2010-02-11 21:59:33.213 UTC	2010-02-11 21:59:33.384 UTC
343	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:34.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem6_option1 UpdateMultipleChoice	1	Correct	LT_problem6_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC112		CMU			2010-02-11 21:59:34.117 UTC	2010-02-11 21:59:34.305 UTC
344	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:34.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem6_option2 UpdateMultipleChoice	1	Correct	LT_problem6_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC17		CMU			2010-02-11 21:59:34.741 UTC	2010-02-11 21:59:34.897 UTC
345	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:35.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem6_option3 UpdateMultipleChoice	1	Correct	LT_problem6_option3	UpdateMultipleChoice	True					unnamed		Single-KC		KC36		CMU			2010-02-11 21:59:35.241 UTC	2010-02-11 21:59:35.428 UTC
346	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:35.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem6_option4 UpdateMultipleChoice	1	Correct	LT_problem6_option4	UpdateMultipleChoice	True					unnamed		Single-KC		KC122		CMU			2010-02-11 21:59:35.740 UTC	2010-02-11 21:59:35.896 UTC
347	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:36.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem6_option5 UpdateMultipleChoice	1	Correct	LT_problem6_option5	UpdateMultipleChoice	True					unnamed		Single-KC		KC148		CMU			2010-02-11 21:59:36.395 UTC	2010-02-11 21:59:36.567 UTC
348	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:36.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem6_option6 UpdateMultipleChoice	1	Correct	LT_problem6_option6	UpdateMultipleChoice	True					unnamed		Single-KC		KC140		CMU			2010-02-11 21:59:36.879 UTC	2010-02-11 21:59:37.066 UTC
349	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:38.0	US/Eastern	2	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem1_option1 UpdateMultipleChoice	1	Correct	effective_problem1_option1	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC89		CMU			2010-02-11 21:59:38.922 UTC	2010-02-11 21:59:39.109 UTC
350	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:39.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem1_option2 UpdateMultipleChoice	1	Correct	effective_problem1_option2	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC63		CMU			2010-02-11 21:59:39.593 UTC	2010-02-11 21:59:39.749 UTC
351	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:40.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem1_option3 UpdateMultipleChoice	1	Correct	effective_problem1_option3	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC61		CMU			2010-02-11 21:59:40.186 UTC	2010-02-11 21:59:40.342 UTC
352	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:40.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem1_option4 UpdateMultipleChoice	1	Correct	effective_problem1_option4	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC34		CMU			2010-02-11 21:59:40.825 UTC	2010-02-11 21:59:40.997 UTC
353	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:41.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem2_option1 UpdateMultipleChoice	1	Correct	effective_problem2_option1	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC16		CMU			2010-02-11 21:59:41.839 UTC	2010-02-11 21:59:42.058 UTC
354	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:42.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem2_option2 UpdateMultipleChoice	1	Correct	effective_problem2_option2	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC39		CMU			2010-02-11 21:59:42.588 UTC	2010-02-11 21:59:42.729 UTC
355	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:43.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem2_option3 UpdateMultipleChoice	1	Correct	effective_problem2_option3	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC26		CMU			2010-02-11 21:59:43.243 UTC	2010-02-11 21:59:43.399 UTC
356	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:43.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem2_option4 UpdateMultipleChoice	1	Correct	effective_problem2_option4	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC51		CMU			2010-02-11 21:59:43.977 UTC	2010-02-11 21:59:44.164 UTC
357	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:49.0	US/Eastern	3	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem3_option1 UpdateMultipleChoice	1	Correct	effective_problem3_option1	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC136		CMU			2010-02-11 21:59:49.203 UTC	2010-02-11 21:59:49.374 UTC
358	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:49.0	US/Eastern	3	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem3_option2 UpdateMultipleChoice	1	Correct	effective_problem3_option2	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC109		CMU			2010-02-11 21:59:49.998 UTC	2010-02-11 21:59:50.185 UTC
359	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:50.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem3_option3 UpdateMultipleChoice	1	Correct	effective_problem3_option3	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC74		CMU			2010-02-11 21:59:50.513 UTC	2010-02-11 21:59:50.669 UTC
360	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:50.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem3_option4 UpdateMultipleChoice	1	Correct	effective_problem3_option4	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC70		CMU			2010-02-11 21:59:50.934 UTC	2010-02-11 21:59:51.121 UTC
361	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:52.0	US/Eastern	0.667	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem1_option1 UpdateMultipleChoice	1	Correct	eqexp_problem1_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC82		CMU			2010-02-11 21:59:52.011 UTC	2010-02-11 21:59:52.198 UTC
362	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:52.0	US/Eastern	0.667	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem1_option2 UpdateMultipleChoice	1	Correct	eqexp_problem1_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC107		CMU			2010-02-11 21:59:52.432 UTC	2010-02-11 21:59:52.588 UTC
363	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:52.0	US/Eastern	0.667	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem1_option3 UpdateMultipleChoice	1	Correct	eqexp_problem1_option3	UpdateMultipleChoice	True					unnamed		Single-KC		KC79		CMU			2010-02-11 21:59:52.994 UTC	2010-02-11 21:59:53.306 UTC
364	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:53.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem1_option4 UpdateMultipleChoice	1	Correct	eqexp_problem1_option4	UpdateMultipleChoice	True					unnamed		Single-KC		KC144		CMU			2010-02-11 21:59:53.477 UTC	2010-02-11 21:59:53.618 UTC
365	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:53.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem1_option5 UpdateMultipleChoice	1	Correct	eqexp_problem1_option5	UpdateMultipleChoice	True					unnamed		Single-KC		KC96		CMU			2010-02-11 21:59:53.883 UTC	2010-02-11 21:59:54.054 UTC
366	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:59.0	US/Eastern	3	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem2_option1 UpdateMultipleChoice	1	Correct	eqexp_problem2_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC53		CMU			2010-02-11 21:59:59.093 UTC	2010-02-11 21:59:59.265 UTC
367	All Data	Stu_437a876c59e12385077b3687e78f8e92	L170af4:126bf0a85b7:-8000	2010-02-11 16:59:59.0	US/Eastern	3	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem2_option2 UpdateMultipleChoice	1	Correct	eqexp_problem2_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC19		CMU			2010-02-11 21:59:59.717 UTC	2010-02-11 21:59:59.873 UTC
