Problem Name	1	2	3	4	5	6	7	8	9	10	11
%(row3_1.multiplierDivisorCost1-Hint2)%	If you divided the number of tickets by 3 to get from the original number of tickets (12) to the new number of tickets (4), then you should divide the original cost of tickets ($18) by 3 to get to the new cost of tickets.	If you multiplied the number of months by 2 to get from the original number of months (3) to the new number of months (6), then you should multiply the original cost of service ($60) by 2 to get to the new cost of service.	If you multiplied the number of hours by 5 to get from the original number of hours (6) to the new number of hours (30), then you should multiply the cost of the pass for 6 hours ($30) by 5 to get the cost of the pass for 30 hours.	If you multiplied the number of hours by 2 to get from the original number of hours (60) to the new number of hours (120), then you should multiply the money earned for 60 hours ($120) by 2 to get the money earned for 120 hours.	If you divided the number of lollipops by 8 to get from the original number of lollipops (24) to the new number of lollipops (3), then you should divide the cost of 24 lollipops ($12) by 8 to get the cost of 3 lollipops.	If you divided the number of soda cans by 2 to get from the original number of soda cans (24) to the new number of soda cans (12), then you should divide the cost of 24 soda cans ($8.40) by 2 to get the cost of 12 soda cans.	If you multiplied the size of the Fruit-Oh box by 2 to get from the original size of the Fruit-Oh box (24 oz.) to the new size of the Fruit-Oh box (48 oz.), then you should multiply the original cost of the Fruit-Oh box ($3) by 2 to get to the new cost of the Fruit-Oh box.	If you divided the number of cookies by 12 to get from the original number of cookies (48) to the new number of cookies (4), then you should divide the cost of 48 cookies ($26.40) by 12 to get the cost of 4 cookies.	If you divided the number of gallons by 3 to get from the original number of gallons (15) to the new number of gallons (5), then you should divide the number of miles 15 gallons gives(45) by 3 to get to the number of miles 5 gallons gives.	If you divided the amount of macaroni by 3 to get from the original amount of macaroni (12 oz.) to the new amount of macaroni (4 oz.), then you should divide the original cost of macaroni ($3) by 3 to get to the new cost of macaroni.	If you divided the area painted by 4 to get from the original area painted (16 sq. feet) to the new area painted (4 sq. feet), then you should divide the original time required to paint 16 sq. feet (12 mins) by 4 to get the time requires to paint 4 sq. feet.
%(row3_1.multiplierDivisorCost1-Hint3)%	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.
%(row3_1.multiplierDivisorCost1-BugMsg)%	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of tickets you buy and the cost of the tickets. Look at the row labeled "Tickets" to figure out the correct divisor.	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the number of months and the cost of the service. Look at the row labeled "Months" to figure out the correct multiplier.	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the number of hours and the cost of the pass. Look at the row labeled "Hours" to figure out the correct multiplier.	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the number of hours worked and the money earned. Look at the row labeled "Hours" to figure out the correct multiplier.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of lollipops and their cost. Look at the row labeled "Lollipops" to figure out the correct divisor.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of soda cans and their cost. Look at the row labeled "Soda Cans" to figure out the correct divisor.	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the size of the Fruit-Oh box and the cost of it. Look at the row labeled "Size(oz.)" to figure out the correct multiplier.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of cookies and their cost. Look at the row labeled "Cookies" to figure out the correct divisor.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of gallons and the number of miles it gives. Look at the row labeled "Gallons" to figure out the correct divisor.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the amount of macaroni and the cost of it. Look at the row labeled "Amount(oz.)" to figure out the correct divisor.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the area painted and the time required to paint it. Look at the row labeled "Area(sq. feet)" to figure out the correct divisor.
%(row3_1.totalCost1-RValue)%	6	120	150	240	1.50	4.20	6	2.20	15	1	3
%(row3_1.totalCost1-Hint1)%	The new cost of tickets under Option 1 is the original cost of tickets ($18) divided by the divisor (3)	The new cost of the service for 6 months under Option 1 is the original cost of the service ($60) multiplied by the multiplier (2)	The cost of the pass for 30 hours under Option 1 is the cost of the pass for 6 hours ($30) multiplied by the multiplier (5).	The money earned for 120 hours under Option 1 is the money earned for 60 hours ($120) multiplied by the multiplier (2).	The cost of 3 lollipops under Option 1 is the cost of 24 lollipops ($12) divided by the divisor (8).	The cost of 12 soda cans under Option 1 is the cost of 24 soda cans ($8.40) divided by the divisor (2).	The cost of the 48 oz. Fruit-Oh box under Option 1 is the cost of the 24 oz. ($3) multiplied by the multiplier (2)	The cost of 4 cookies under Option 1 is the cost of 48 cookies ($26.40) divided by the divisor (12).	The number of miles 5 gallons gives under Option 1 is the number of miles 15 gallons gives (45) divided by the divisor (3).	The cost of 4 oz. of macaroni under Option 1 is the cost of 12 oz. ($3) divided by the divisor (3)	The time required to paint 4 sq. feet under Option 1 is the time required to paint 16 sq. feet (12 mins) divided by the divisor (4)
%(row3_1.totalCost1-Hint2)%	The new cost of tickets under Option 1 equals 18/3 = 6.	The new cost of the service for 6 months under Option 1 equals 60*2 = 120.	The cost of the pass for 30 hours under Option 1 equals 30*5 = 150	The money for 120 hours under Option 1 equals 120*2 = 240	The cost of 3 lollipops under Option 1 equals 12/8 = 1.50	The cost of 12 soda cans under Option 1 equals 8.40/2 = 4.20	The cost of the 48 oz. Fruit-Oh box under Option 1 equals 3*2 = 6.	The cost of 4 cookies under Option 1 equals 26.40/12 = 2.20	The number of miles 5 gallons gives under Option 1 equals 45/3 =15.	The cost of 4 oz. of macaroni under Option 1 equals 3/3 = 1.	The time required to paint 4 sq. feet under Option 1 equals 12/4 = 3.
%(row3_1.totalCost1-Hint3)%	Please enter '6' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '150' in the highlighted field.	Please enter '240' in the highlighted field.	Please enter '1.50' in the highlighted field.	Please enter '4.20' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '2.20' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '3' in the highlighted field.
%(row3_1.totalCost1-BugMsg)%	18/3 does not equal <%=input%>	60*2 does not equal <%=input%>	30*5 does not equal <%=input%>	120*2 does not equal <%=input%>	12/8 does not equal <%=input%>	8.40/2 does not equal <%=input%>	3*2 does not equal <%=input%>	26.40/12 does not equal <%=input%>	45/3 does not equal <%=input%>	3/3 does not equal <%=input%>	12/4 does not equal <%=input%>
%(thirdMid1-RValue)%	6	120	150	240	1.50	4.20	6	2.20	15	1	3
%(thirdMid1-Hint1)%	Under Option 1, you have worked out what the cost of 4 tickets will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of service for 6 months will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of the pass for 30 hours will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the money earned for 120 hours of work will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of 3 lollipops will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of 12 soda cans will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of a 48 oz. Fruit-Oh box will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of 4 cookies will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the number of miles 5 gallons will give is. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of 4 oz. of macaroni will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the time required to paint 4 sq. feet will be. Enter that value in the highlighted field.
%(thirdMid1-Hint2)%	You have already worked out that under Option 1 when the number of tickets you buy is 4, the cost of the tickets is $6. Enter '6' in the highlighted field.	You have already worked out that under Option 1 the cost of service for 6 months is $120. Enter '120' in the highlighted field.	You have already worked out that under Option 1 the cost of the pass for 30 hours is $150. Enter '150' in the highlighted field.	You have already worked out that under Option 1 the money earned for 120 hours is $240. Enter '240' in the highlighted field.	You have already worked out that under Option 1 the cost of 3 lollipops is $1.50. Enter '1.50' in the highlighted field.	You have already worked out that under Option 1 the cost of 12 soda cans is $4.20. Enter '4.20' in the highlighted field.	You have already worked out that under Option 1 the cost of the 48 oz. Fruit-Oh box $6. Enter '6' in the highlighted field.	You have already worked out that under Option 1 the cost of 4 cookies is $2.20. Enter '2.20' in the highlighted field.	You have already worked out that under Option 1 when the number of gallons is 5, the number of miles it gives is 15. Enter '15' in the highlighted field.	You have already worked out that under Option 1 the cost of 4 oz. of macaroni $1. Enter '1' in the highlighted field.	You have already worked out that under Option 1 the time required to paint 4 sq. feet is 3 minutes. Enter '3' in the highlighted field.
%(thirdMid1-BugMsg)%	<%=input%> is not the correct cost of 4 tickets. Look at the row labeled "Cost" in your working to figure out what the cost of 4 tickets will be.	<%=input%> is not the correct cost of service for 6 months. Look at the row labeled "Cost" in your working to figure out what the cost of service for 6 months will be.	<%=input%> is not the correct cost of the pass for 30 hours. Look at the row labeled "Cost" in your working to figure out what the cost of the pass for 30 hours will be.	<%=input%> is not the correct amount of money earned for 120 hours of work. Look at the row labeled "Earnings" in your working to figure out what the money earned for 120 hours of work will be.	<%=input%> is not the correct cost of 3 lollipops. Look at the row labeled "Cost" in your working to figure out what the cost of 3 lollipops will be.	<%=input%> is not the correct cost of 12 soda cans. Look at the row labeled "Cost" in your working to figure out what the cost of 12 soda cans will be.	<%=input%> is not the correct cost of the 48 oz. Fruit-Oh box. Look at the row labeled "Cost" in your working to figure out what the cost of the 48 oz. Fruit-Oh box will be.	<%=input%> is not the correct cost of 4 cookies. Look at the row labeled "Cost" in your working to figure out what the cost of 4 cookies will be.	<%=input%> is not the correct number of miles 5 gallons gives. Look at the row labeled "Miles" in your working to figure out what the mileage of 5 gallons will be.	<%=input%> is not the correct cost of 4 oz. of macaroni. Look at the row labeled "Cost" in your working to figure out what the cost of 4 oz. of macaroni will be.	<%=input%> is not the correct time required to paint 4 sq. feet. Look at the row labeled "Time" in your working to figure out what the time required to paint 4 sq. feet will be.
%(nextButton3_1-Hint1)%	The current "Show Your Work Area" in Option 1 displays the worksheet for 4 tickets. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays the worksheet for 6 months. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays the worksheet for 30 hours. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays the worksheet for 120 hours. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays the worksheet for 3 lollipops. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays the worksheet for 12 soda cans. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays the worksheet for a 48 oz Fruit-Oh box. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays the worksheet for 4 cookies. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays the worksheet for 5 gallons. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays the worksheet for 4 oz of macaroni. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays the worksheet for 4 sq. feet. Please Click on the ">>" Button to get to the worksheet for the next problem.
%(nextButton3_1-Hint2)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
%(row4_1.operationTickets1-Rvalue)%	/	/	/	/	/	/	/	*	/	/	/
%(row4_1.operationTickets1-Hint1)%	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?
%(row4_1.operationTickets1-Hint2)%	Do you need to multiply or divide to get from the original number of tickets (12) to the new number of tickets (1)?	Do you need to multiply or divide to get from the original number of months (3) to the new number of months (1)?	Do you need to multiply or divide to get from the original number of hours (6) to the new number of hours (1)?	Do you need to multiply or divide to get from the original number of hours (60) to the new number of hours (1)?	Do you need to multiply or divide to get from the original number of lollipops (24) to the new number of lollipops (1)?	Do you need to multiply or divide to get from the original number of soda cans (24) to the new number of soda cans (3)?	Do you need to multiply or divide to get from the original size of Fruit-Oh boxes (24 oz.) to the new size of Fruit-Oh Boxes (4 oz.)?	Do you need to multiply or divide to get from the original number of cookies (48) to the new number of cookies (144)?	Do you need to multiply or divide to get from the original number of gallons (15) to the new number of gallons (1)?	Do you need to multiply or divide to get from the original amount of macaroni (12 oz) to the new amount of macaroni (1 oz.)?	Do you need to multiply or divide to get from the original area painted (16 sq. feet) to the new area painted (1 sq. foot)?
%(row4_1.operationTickets1-Hint3)%	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.
%(row4_1.operationTickets1-Wvalue)%	*	*	*	*	*	*	*	/	*	*	*
%(row4_1.operationTickets1-BugMsg)%	1 is less than 12, so you can not use multiplication to get from the original number of tickets (12) to the new number of tickets(1).	1 is less than 3, so you can not use multiplication to get from the original number of months (3) to the new number of months(1).	1 is less than 6, so you can not use multiplication to get from the original number of hours (6) to the new number of hours(1).	1 is less than 60, so you can not use multiplication to get from the original number of hours (60) to the new number of hours(1).	1 is less than 24, so you can not use multiplication to get from the original number of lollipops (24) to the new number of lollipops(1).	3 is less than 24, so you can not use multiplication to get from the original number of soda cans (24) to the new number of soda cans(3).	4 is less than 24, so you can not use multiplication to get from the original size of Fruit-Oh boxes (24 oz.) to the new size of Fruit-Oh boxes (4 oz.)	144 is greater than 48, so you can not use division to get from the original number of cookies (48) to the new number of cookies(144).	1 is less than 15, so you can not use multiplication to get from the original number of gallons (15) to the new number of gallons(1).	1 is less than 12, so you can not use multiplication to get from the original amount of macaroni (12 oz.) to the new amount of macaroni(1 oz.).	1 is less than 16, so you can not use multiplication to get from the original area painted (16 sq. feet) to the new area painted(1 sq. foot).
%(row4_1.multiplierDivisorTickets1-Rvalue)%	12	3	6	60	24	8	6	3	15	12	16
%(row4_1.multiplierDivisorTickets1-Hint1)%	How do you get from the original number of tickets (12) to the new number of tickets (1)? What do you divide by?	How do you get from the original number of months (3) to the new number of months (1)? What do you divide by?	How do you get from the original number of hours (6) to the new number of hours (1)? What do you divide by?	How do you get from the original number of hours (60) to the new number of hours (1)? What do you divide by?	How do you get from the original number of lollipops (24) to the new number of lollipops (1)? What do you divide by?	How do you get from the original number of soda cans (24) to the new number of soda cans (3)? What do you divide by?	How do you get from the original size of Fruit-Oh boxes (24 oz.) to the new size of Fruit-Oh boxes (4 oz.)? What do you divide by?	How do you get from the original number of cookies (48) to the new number of cookies (144)? What do you multiply by?	How do you get from the original number of gallons (15) to the new number of gallons (1)? What do you divide by?	How do you get from the original amount of macaroni (12 oz.) to the new amount of macaroni (1 oz.)? What do you divide by?	How do you get from the original area painted (16 sq. feet) to the new area painted (1 sq. foot)? What do you divide by?
%(row4_1.multiplierDivisorTickets1-Hint2)%	You can use multiplication to help you find the divisor. What can you multiply by 1 to get 12?	You can use multiplication to help you find the divisor. What can you multiply by 1 to get 3?	You can use multiplication to help you find the divisor. What can you multiply by 1 to get 6?	You can use multiplication to help you find the divisor. What can you multiply by 1 to get 60?	You can use multiplication to help you find the divisor. What can you multiply by 1 to get 24?	You can use multiplication to help you find the divisor. What can you multiply by 3 to get 24?	You can use multiplication to help you find the divisor. What can you multiply by 4 to get 24?	You can use division to help you find the multiplier. The answer to 144/48 will be the multiplier.	You can use multiplication to help you find the divisor. What can you multiply by 1 to get 15?	You can use multiplication to help you find the divisor. What can you multiply by 1 to get 12?	You can use multiplication to help you find the divisor. What can you multiply by 1 to get 16?
%(row4_1.multiplierDivisorTickets1-Hint3)%	1*12 = 12, so 12/12 = 1. Your divisor will therefore be 12.	1*3 = 3, so 3/3 = 1. Your divisor will therefore be 3.	1*6=6, so 6/6 = 1. Your divisor will therefore be 6.	1*60=60, so 60/60 = 1. Your divisor will therefore be 60.	1*24=24, so 24/24 = 1. Your divisor will therefore be 24.	3*8=24, so 24/8 = 3. Your divisor will therefore be 8.	4*6=24, so 24/6 = 4. Your divisor will therefore be 6.	144/48 = 3, so 48*3 = 144. Your multiplier will therefore be 3.	1*15 = 15, so 15/15 = 1. Your divisor will therefore be 15.	1*12 = 12, so 12/12 = 1. Your divisor will therefore be 12.	1*16 = 16, so 16/16 = 1. Your divisor will therefore be 16.
%(row4_1.multiplierDivisorTickets1-Hint4)%	Please enter '12' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '16' in the highlighted field.
%(row4_1.multiplierDivisorTickets1-BugMsg)%	12/<%=input%> does not equal 1	3/<%=input%> does not equal 1	6/<%=input%> does not equal 1	60/<%=input%> does not equal 1	24/<%=input%> does not equal 1	24/<%=input%> does not equal 3	24/<%=input%> does not equal 4	48*<%=input%> does not equal 144	15/<%=input%> does not equal 1	12/<%=input%> does not equal 1	16/<%=input%> does not equal 1
%(row4_1.operationCost1-Rvalue)%	/	/	/	/	/	/	/	*	/	/	/
%(row4_1.operationCost1-Hint1)%	To keep the problem the same, the operator must be the same for the number of tickets you buy and the cost of the tickets. Did you use multiplication or division to find the new number of tickets (1)?	To keep the problem the same, the operator must be the same for the number of months and the cost of the service. Do you use multiplication or division to find the new number of months (1)?	To keep the problem the same, the operator must be the same for the number of hours and the cost of the pass. Do you use multiplication or division to find the new number of hours(1)?	To keep the problem the same, the operator must be the same for the number of hours worked and the money earned. Do you use multiplication or division to find the new number of hours (1)?	To keep the problem the same, the operator must be the same for the number of lollipops and the cost of the lollipops. Do you use multiplication or division to find the new number of lollipops(1)?	To keep the problem the same, the operator must be the same for the number of soda cans and the cost of the soda cans. Do you use multiplication or division to find the new number of soda cans(3)?	To keep the problem the same, the operator must be the same for the size of Fruit-Oh boxes and the cost of the Fruit-Oh boxes. Do you use multiplication or division to find the new size of Fruit-Oh boxes(4 oz.)?	To keep the problem the same, the operator must be the same for the number of cookies you buy and the cost of the cookies. Did you use multiplication or division to find the new number of cookies (144)?	To keep the problem the same, the operator must be the same for the number of gallons and the number of miles it gives. Did you use multiplication or division to find the new number of gallons (1)?	To keep the problem the same, the operator must be the same for the amount of macaroni and the cost of macaroni. Do you use multiplication or division to find the new amount of macaroni (1 oz.)?	To keep the problem the same, the operator must be the same for the area painted and the time required to paint it. Do you use multiplication or division to find the new area painted (1 sq. foot)?
%(row4_1.operationCost1-Hint2)%	If you divided the number of tickets to get from the original number of tickets (12) to the new number of tickets (1), then you should divide to get from the original cost of tickets ($18) to the new cost of tickets.	If you used division to get from the original number of months (3) to the new number of months (1), then you should use division to get from the original cost of the service ($60) to the new cost of the service.	If you used division to get from the original number of hours (6) to the new number of hours (1), then you should use division to get from the cost of the pass for 6 hours ($30) to the cost of the pass for 1 hour.	If you used division to get from the original number of hours (60) to the new number of hours (1), then you should use division to get from the money earned for 60 hours ($120) to the money earned for 1 hour.	If you used division to get from the original number of lollipops (24) to the new number of lollipops (1), then you should use division to get from the cost of 24 lollipops ($12) to the cost of 1 lollipop.	If you used division to get from the original number of soda cans (24) to the new number of soda cans (3), then you should use division to get from the cost of 24 soda cans ($8.40) to the cost of 3 soda cans.	If you used division to get from the original size of Fruit-Oh boxes (24 oz.) to the new size of Fruit-Oh boxes (4 oz.), then you should use division to get from the cost of a 24 oz. Fruit-Oh box ($3) to the cost of a 4 oz. Fruit-Oh box.	If you multiplied the number of cookies to get from the original number of cookies (48) to the new number of cookies (144), then you should multiply to get from the original cost of cookies ($26.40) to the new cost of cookies.	If you divided the number of gallons to get from the original number of gallons (15) to the new number of gallons (1), then you should divide to get from the number of miles 15 gallons gives (45) to the number of miles 1 gallon gives.	If you used division to get from the original amount of macaroni (12 oz.) to the new amount of macaroni (1 oz.), then you should use division to get from the original cost of macaroni ($3) to the new cost of macaroni.	If you used division to get from the original area painted (16 sq. feet) to the new area painted (1 sq. foot), then you should use division to get from the original time required to paint 16 sq. feet (12 mins) to the time required to paint 1 sq. foot.
%(row4_1.operationCost1-Hint3)%	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.
%(row4_1.operationCost1-Wvalue)%	*	*	*	*	*	*	*	/	*	*	*
%(row4_1.operationCost1-BugMsg)%	To keep the problem the same, the operator must be the same for the number of tickets you buy and the cost of the tickets. Look at the row labeled "Tickets" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of months and the cost of the service. Look at the row labeled "Months" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of hours and the cost of the pass. Look at the row labeled "Hours" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of hours worked and the money earned. Look at the row labeled "Hours" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of lollipops and their cost. Look at the row labeled "Lollipops" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of soda cans and their cost. Look at the row labeled "Soda Cans" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the size of Fruit-Oh boxes and their cost. Look at the row labeled "Size(oz.)" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of cookies you buy and the cost of the cookies. Look at the row labeled "Cookies" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of gallons and the number of miles it gives. Look at the row labeled "Gallons" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the amount of macaroni and the cost of it. Look at the row labeled "Amount(oz.)" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the area painted and the time required to paint it. Look at the row labeled "Area(sq. feet)" to figure out the correct operator.
%(row4_1.multiplierDivisorCost1-Rvalue)%	12	3	6	60	24	8	6	3	15	12	16
%(row4_1.multiplierDivisorCost1-Hint1)%	To keep the problem the same, the divisor must be the same for the number of tickets you buy and the cost of the tickets. What is the divisor you used to get from the original number of tickets (12) to the new number of tickets (1)?	To keep the problem the same, the divisor must be the same for the number of months and the cost of the service. What is the divisor you used to get from the original number of months (3) to the new number of months (1)?	To keep the problem the same, the divisor must be the same for the number of hours and the cost of the pass. What is the divisor you used to get from the original number of hours (6) to the new number of hours(1)?	To keep the problem the same, the divisor must be the same for the number of hours worked and the money earned. What is the divisor you used to get from the original number of hours (60) to the new number of hours(1)?	To keep the problem the same, the divisor must be the same for the number of lollipops and their cost. What is the divisor you used to get from the original number of lollipops (24) to the new number of lollipops(1)?	To keep the problem the same, the divisor must be the same for the number of soda cans and their cost. What is the divisor you used to get from the original number of soda cans (24) to the new number of soda cans(3)?	To keep the problem the same, the divisor must be the same for the size of Fruit-Oh boxes and their cost. What is the divisor you used to get from the original size of Fruit-Oh boxes (24 oz.) to the new size of Fruit-Oh boxes(4 oz.)?	To keep the problem the same, the multiplier must be the same for the number of cookies you buy and the cost of the cookies. What is the multiplier you used to get from the original number of cookies (48) to the new number of cookies (144)?	To keep the problem the same, the divisor must be the same for the number of gallons and the number of miles it gives. What is the divisor you used to get from the original number of gallons (15) to the new number of gallons (1)?	To keep the problem the same, the divisor must be the same for the amount of macaroni and the cost of it. What is the divisor you used to get from the original amount of macaroni (12 oz.) to the new amount of macaroni (1 oz.)?	To keep the problem the same, the divisor must be the same for the area painted and the time required to paint it. What is the divisor you used to get from the original area painted (16 sq. feet) to the new area painted (1 sq. foot)?
%(row4_1.multiplierDivisorCost1-Hint2)%	If you divided the number of tickets by 12 to get from the original number of tickets (12) to the new number of tickets (1), then you should divide the original cost of tickets ($18) by 12 to get to the new cost of tickets.	If you divided the number of months by 3 to get from the original number of months (3) to the new number of months (1), then you should divide the original cost of service ($60) by 3 to get to the new cost of service.	If you divided the number of hours by 6 to get from the original number of hours (6) to the new number of hours (1), then you should divide the cost of the pass for 6 hours ($30) by 6 to get the cost of the pass for 1 hour.	If you divided the number of hours by 60 to get from the original number of hours (60) to the new number of hours (1), then you should divide the money earned for 60 hours ($120) by 60 to get the money earned for 1 hour.	If you divided the number of lollipops by 24 to get from the original number of lollipops (24) to the new number of lollipops (1), then you should divide the cost of 24 lollipops ($12) by 24 to get the cost of 1 lollipop.	If you divided the number of soda cans by 8 to get from the original number of soda cans (24) to the new number of soda cans (3), then you should divide the cost of 24 soda cans ($8.40) by 8 to get the cost of 3 soda cans.	If you divided the size of Fruit-Oh boxes by 6 to get from the original size of Fruit-Oh boxes (24 oz.) to the new size of Fruit-Oh boxes (4 oz.), then you should divide the cost of a 24 oz. Fruit-Oh box ($3) by 6 to get the cost of a 4 oz. Fruit-Oh box.	If you multiplied the number of cookies by 3 to get from the original number of cookies (48) to the new number of cookies (144), then you should multiply the original cost of cookies ($26.40) by 3 to get to the new cost of cookies.	If you divided the number of gallons by 15 to get from the original number of gallons (15) to the new number of gallons (1), then you should divide the number of miles 15 gallons gives(45) by 15 to get to the number of miles 1 gallon gives.	If you divided the amount of macaroni by 12 to get from the original amount of macaroni (12 oz.) to the new amount of macaroni (1 oz.), then you should divide the original cost of macaroni ($3) by12 to get to the new cost of macaroni.	If you divided the area painted by 16 to get from the original area painted (16 sq. feet) to the new area painted (1 sq. foot), then you should divide the original time required to paint 16 sq. feet (12 mins) by 16 to get the time requires to paint 1 sq. foot.
%(row4_1.multiplierDivisorCost1-Hint3)%	Please enter '12' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '16' in the highlighted field.
